symbol_id,symbol,timeframe,timeframe_code,eligible,reasons,covered_until,unresolved_rows
30,000058.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
31,000099.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,90
31,000099.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,47
31,000099.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
31,000099.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
31,000099.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
32,000403.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,65
32,000403.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,17
32,000403.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
32,000403.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
32,000403.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
33,000428.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,228
33,000428.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,43
33,000428.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
33,000428.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
33,000428.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
34,000517.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,143
34,000517.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,38
34,000517.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
34,000517.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
34,000517.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
35,000536.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,139
35,000536.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,33
35,000536.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
35,000536.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
35,000536.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
36,000555.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,210
36,000555.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,25
36,000555.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
36,000555.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
36,000555.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
37,000576.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,130
37,000576.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,28
37,000576.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
37,000576.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
37,000576.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
38,000603.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,96
38,000603.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,20
38,000603.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
38,000603.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
38,000603.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
39,000630.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,29
39,000630.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,21
39,000630.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
39,000630.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
39,000630.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
40,000663.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,108
40,000663.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,23
40,000663.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
40,000663.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
40,000663.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
41,000688.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,103
41,000688.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,28
41,000688.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
